Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (soils/sediments),2.28,log L/kg OC,3,2.28,0.53,,1.24,3.67,"[78, 81]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc  (soils/sediments),3.08,log L/kg OC,3,3.08,0.49,,2.13,4.74,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (soils/sediments),1.8,log L/kg OC,3,1.8,0.55,,0.83,2.81,[78],
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (soils/sediments),1.74,log L/kg OC,3,1.74,0.53,,0.84,2.69,[78],
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (soils/sediments),1.79,log L/kg OC,3,1.79,0.51,,0.84,2.76,[78],
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (soils/sediments),1.98,log L/kg OC,3,1.98,0.61,,0.95,3.17,"[78, 80]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (soils/sediments),2.8,log L/kg OC,3,2.8,0.51,,1.62,3.75,[78],
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (soils/sediments),3.44,log L/kg OC,3,3.44,0.62,,2.01,4.39,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (soils/sediments),1.63,log L/kg OC,3,1.63,0.44,,0.84,2.65,"[78, 82]",
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (soils/sediments),2.07,log L/kg OC,3,2.07,0.54,,1.06,3.15,"[78, 80]",
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (soils/sediments),2.22,log L/kg OC,4,,,,1.6,2.84,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (soils/sediments),2.28,log L/kg OC,4,,,,1.66,2.89,,Calculated based on retention time
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (soils/sediments),2.96,log L/kg OC,4,,,,2.31,3.61,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (soils/sediments),2.2,log L/kg OC,3,2.2,0.57,,1.09,3.17,[78],
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (soils/sediments),2.119,log L/kg OC,,,,,,,[96],
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (soils/sediments),3.24,log L/kg OC,4,,,,2.55,3.94,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (soils/sediments),1.64,log L/kg OC,4,,,,0.96,2.32,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (soils/sediments),1.89,log L/kg OC,3,1.89,0.46,,1.22,2.65,[78],
Land application,LandApp,appl_dens,kg dry applied per area,2,kg TS/m2,5,2,,,0.8,18,[7],
Land application,LandApp,depth_mix,Depth of soil mixed,0.1,m,4,,,,0.05,0.2,[8],
Soil Properties,SoilProp,bulk_dens,Soil bulk density - wet,1424,kg/m3,4,,,,820,1660,[9],
Soil Properties,SoilProp,ts_cont,Soil total solids content -wet,0.85,kg TS/kg,4,,,,0.65,0.9,[10],
Soil Properties,SoilProp,C_cont,Soil organic C content -dry,0.015,fraction TS,4,,,,0.0008,0.049,[9],
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,[11],
Precipitation Data,Precip,frac_runoff,Run-off fraction of precipitation,0.05,frac,,,,,,,[12],
Precipitation Data,Precip,frac_ET,Evapotranspiration fraction of precipitation,0.5,frac,4,,,,0.033,1,[13],
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
