Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
AD parameters,AD,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,No data.
AD parameters,AD,frac_VS_loss,Fraction VS destruction during AD,0.55,fraction,4,,,,0.45,0.65,[1],"Derived by digestion time (days) 30d=50-65%, 20d=50-60%, 15d=45-50% "
AD parameters,AD,frac_cured,Fraction of digestate cured,1,fraction,,,,,,,,"Operation parameter, user should set it."
AD parameters,AD,Reac_moist,Reactor moisture content _ wet,0.92,fraction,5,0.92,,,0.9,0.98,[97],
Dewatering,Dew,Digestate_moist,Moisture Content of Solids Stream After Dewatering,0.76,fraction,5,0.76,,,0.65,0.87,[1],
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,curing_time,Curing time,30,days,,,,,,,,
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (AD),2.28,log L/kg OC,3,2.28,0.53,,1.24,3.67,"[78, 81]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (AD),3.08,log L/kg OC,3,3.08,0.49,,2.13,4.74,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (AD),1.8,log L/kg OC,3,1.8,0.55,,0.83,2.81,[78],
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (AD),1.74,log L/kg OC,3,1.74,0.53,,0.84,2.69,[78],
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (AD),1.79,log L/kg OC,3,1.79,0.51,,0.84,2.76,[78],
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (AD),1.98,log L/kg OC,3,1.98,0.61,,0.95,3.17,"[78, 80]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (AD),2.8,log L/kg OC,3,2.8,0.51,,1.62,3.75,[78],
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (AD),3.44,log L/kg OC,3,3.44,0.62,,2.01,4.39,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (AD),1.63,log L/kg OC,3,1.63,0.44,,0.84,2.65,"[78, 82]",
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (AD),2.07,log L/kg OC,3,2.07,0.54,,1.06,3.15,"[78, 80]",
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (AD),2.22,log L/kg OC,4,,,,1.6,2.84,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (AD),2.28,log L/kg OC,4,,,,1.66,2.89,,Calculated based on retention time
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (AD),2.96,log L/kg OC,4,,,,2.31,3.61,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (AD),2.2,log L/kg OC,3,2.2,0.57,,1.09,3.17,[78],
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (AD),2.119,log L/kg OC,,,,,,,[96],
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (AD),3.24,log L/kg OC,4,,,,2.55,3.94,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (AD),1.64,log L/kg OC,4,,,,0.96,2.32,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (AD),1.89,log L/kg OC,3,1.89,0.46,,1.22,2.65,[78],
