,segments,periods
0,1,1
1,1,2
2,2,2
3,3,2
4,3,3
5,3,4
6,3,5
7,4,5
8,5,5
9,5,6
10,5,7
11,5,8
12,5,9
13,5,10
14,6,10
15,6,11
16,7,11
17,7,12
18,7,13
19,7,14
20,8,14
21,9,14
22,9,15
23,9,16
24,9,17
25,9,18
26,9,19
27,9,20
28,9,21
29,10,21
30,1,1
31,1,2
32,2,2
33,3,2
34,3,3
35,3,4
36,3,5
37,4,5
38,5,5
39,5,6
40,5,7
41,5,8
42,5,9
43,5,10
44,6,10
45,6,11
46,7,11
47,7,12
48,7,13
49,7,14
50,8,14
