ASCII_CODE,CHR
887,'ͷ'
626,'ɲ'
627,'ɳ'
581,'Ʌ'
650,'ʊ'
651,'ʋ'
652,'ʌ'
653,'ʍ'
654,'ʎ'
656,'ʐ'
1021,'Ͻ'
1022,'Ͼ'
915,'Γ'
916,'Δ'
658,'ʒ'
648,'ʈ'
661,'ʕ'
662,'ʖ'
663,'ʗ'
669,'ʝ'
670,'ʞ'
940,'ά'
672,'ʠ'
664,'ʘ'
