base,system,system_name
2,Binary number,Binary
3,Ternary numeral system,Ternary
4,Quaternary numeral system,Quaternary
5,Quinary,Quinary
6,Senary,Senary
7,Septenary,Septenary
8,Octal,Octal
9,Nonary,Nonary
10,Decimal,Decimal
11,Undecimal number system,Undecimal
12,Duodecimal,Duodecimal
13,Tridecimal,Tridecimal
14,Tetradecimal,Tetradecimal
15,Pentadecimal,Pentadecimal
16,Hexadecimal,Hexadecimal
17,Heptadecimal,Heptadecimal
18,Octodecimal,Octodecimal
19,Enneadecimal,Enneadecimal
20,Vigesimal,Vigesimal
21,Unvigesimal,Unvigesimal
22,Duovigesimal,Duovigesimal
23,Trivigesimal,Trivigesimal
24,Tetravigesimal,Tetravigesimal
25,Pentavigesimal,Pentavigesimal
26,Hexavigesimal,Hexavigesimal
27,Heptavigesimal Septemvigesimal,Heptavigesimal Septemvigesimal
28,Octovigesimal,Octovigesimal
29,Enneavigesimal,Enneavigesimal
30,Trigesimal (Base-30),Trigesimal
31,Untrigesimal,Untrigesimal
32,Base32,Duotrigesimal
33,Tritrigesimal,Tritrigesimal
34,Tetratrigesimal,Tetratrigesimal
35,Pentatrigesimal,Pentatrigesimal
36,Hexatrigesimal,Hexatrigesimal
37,Heptatrigesimal,Heptatrigesimal
38,Octotrigesimal,Octotrigesimal
39,Enneatrigesimal,Enneatrigesimal
40,Quadragesimal,Quadragesimal
42,Duoquadragesimal,Duoquadragesimal
45,Pentaquadragesimal,Pentaquadragesimal
47,Septaquadragesimal,Septaquadragesimal
48,Octoquadragesimal,Octoquadragesimal
49,Enneaquadragesimal,Enneaquadragesimal
50,Quinquagesimal,Quinquagesimal
52,Duoquinquagesimal,Duoquinquagesimal
54,Tetraquinquagesimal,Tetraquinquagesimal
56,Hexaquinquagesimal,Hexaquinquagesimal
57,Heptaquinquagesimal,Heptaquinquagesimal
58,Octoquinquagesimal,Octoquinquagesimal
60,Sexagesimal,Sexagesimal
62,Duosexagesimal,Duosexagesimal
64,Tetrasexagesimal,Tetrasexagesimal
72,Duoseptuagesimal,Duoseptuagesimal
80,Octogesimal,Octogesimal
81,Unoctogesimal,Unoctogesimal
85,Pentoctogesimal,Pentoctogesimal
89,Enneaoctogesimal,Enneaoctogesimal
90,Nonagesimal,Nonagesimal
91,Unnonagesimal,Unnonagesimal
92,Duononagesimal,Duononagesimal
93,Trinonagesimal,Trinonagesimal
94,Tetranonagesimal,Tetranonagesimal
95,Pentanonagesimal,Pentanonagesimal
96,Hexanonagesimal,Hexanonagesimal
97,Septanonagesimal,Septanonagesimal
100,Centesimal,Centesimal
120,Centevigesimal,Centevigesimal
121,Centeunvigesimal,Centeunvigesimal
125,Centepentavigesimal,Centepentavigesimal
128,Centeoctovigesimal,Centeoctovigesimal
144,Centetetraquadragesimal,Centetetraquadragesimal
169,Centenovemsexagesimal,Centenovemsexagesimal
185,Centepentoctogesimal,Centepentoctogesimal
196,Centehexanonagesimal,Centehexanonagesimal
200,Duocentesimal,Duocentesimal
210,Duocentedecimal,Duocentedecimal
216,Duocentehexidecimal,Duocentehexidecimal
225,Duocentepentavigesimal,Duocentepentavigesimal
256,Duocentehexaquinquagesimal,Duocentehexaquinquagesimal
300,Trecentesimal,Trecentesimal
360,Trecentosexagesimal,Trecentosexagesimal
