Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Soil Log partition coefficient,SoilLogPartCoef,PFOA,PFOA Log Koc (soils),2.28,log L/kg OC,3,2.28,0.53,,1.24,3.67,"[78, 81]",
Soil Log partition coefficient,SoilLogPartCoef,PFOS,PFOS Log Koc (soils),3.08,log L/kg OC,3,3.08,0.49,,2.13,4.74,"[78, 81]",
Soil Log partition coefficient,SoilLogPartCoef,PFBA,PFBA Log Koc  (soils),1.8,log L/kg OC,3,1.8,0.55,,0.83,2.81,[78],
Soil Log partition coefficient,SoilLogPartCoef,PFPeA,PFPeA Log Koc (soils),1.74,log L/kg OC,3,1.74,0.53,,0.84,2.69,[78],
Soil Log partition coefficient,SoilLogPartCoef,PFHxA,PFHxA Log Koc (soils),1.79,log L/kg OC,3,1.79,0.51,,0.84,2.76,[78],
Soil Log partition coefficient,SoilLogPartCoef,PFHpA,PFHpA Log Koc (soils),1.98,log L/kg OC,3,1.98,0.61,,0.95,3.17,"[78, 80]",
Soil Log partition coefficient,SoilLogPartCoef,PFNA,PFNA Log Koc  (soils),2.8,log L/kg OC,3,2.8,0.51,,1.62,3.75,[78],
Soil Log partition coefficient,SoilLogPartCoef,PFDA,PFDA Log Koc  (soils),3.44,log L/kg OC,3,3.44,0.62,,2.01,4.39,"[78, 81]",
Soil Log partition coefficient,SoilLogPartCoef,PFBS,PFBS Log Koc (soils),1.63,log L/kg OC,3,1.63,0.44,,0.84,2.65,"[78, 82]",
Soil Log partition coefficient,SoilLogPartCoef,PFHxS,PFHxS Log Koc (soils),2.07,log L/kg OC,3,2.07,0.54,,1.06,3.15,"[78, 80]",
Soil Log partition coefficient,SoilLogPartCoef,5:3FTCA,5:3FTCA Log Koc (soils),2.22,log L/kg OC,4,,,,1.6,2.84,,Calculated based on retention time
Soil Log partition coefficient,SoilLogPartCoef,6:2FTCA,6:2FTCA Log Koc (soils),2.28,log L/kg OC,4,,,,1.66,2.89,,Calculated based on retention time
Soil Log partition coefficient,SoilLogPartCoef,7:3FTCA,7:3FTCA Log Koc (soils),2.96,log L/kg OC,4,,,,2.31,3.61,,Calculated based on retention time
Soil Log partition coefficient,SoilLogPartCoef,6:2FTS,6:2FTS Log Koc (soils),2.2,log L/kg OC,3,2.2,0.57,,1.09,3.17,[78],
Soil Log partition coefficient,SoilLogPartCoef,MeFBSAA,MeFBSAA Log Koc (soils),2.119,log L/kg OC,,,,,,,[96],
Soil Log partition coefficient,SoilLogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (soils),3.24,log L/kg OC,4,,,,2.55,3.94,,Calculated based on retention time
