Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Mineralization efficiency,ME,PFOA,ME of PFOA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFOS,ME of PFOS,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFBA,ME of PFBA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFPeA,ME of PFPeA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFHxA,ME of PFHxA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFHpA,ME of PFHpA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFNA,ME of PFNA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFDA,ME of PFDA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFBS,ME of PFBS,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFHxS,ME of PFHxS,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,5:3FTCA,ME of 5:3FTCA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,6:2FTCA,ME of 6:2FTCA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,7:3FTCA,ME of 7:3FTCA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,6:2FTS,ME of 6:2FTS,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,MeFBSAA,ME of MeFBSAA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,nMeFOSAA,ME of nMeFOSAA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFBSA,ME of PFBSA,0.97,fraction,4,,,,0.9,0.99,,
Mineralization efficiency,ME,PFPeS,ME of PFPeS,0.97,fraction,4,,,,0.9,0.99,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFOA,Fraction of PFOA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFOS,Fraction of PFOS remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFBA,Fraction of PFBA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFPeA,Fraction of PFPeA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFHxA,Fraction of PFHxA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFHpA,Fraction of PFHpA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFNA,Fraction of PFNA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFDA,Fraction of PFDA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFBS,Fraction of PFBS remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFHxS,Fraction of PFHxS remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,5:3FTCA,Fraction of 5:3FTCA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,6:2FTCA,Fraction of 6:2FTCA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,7:3FTCA,Fraction of 7:3FTCA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,6:2FTS,Fraction of 6:2FTS remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,MeFBSAA,Fraction of MeFBSAA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,nMeFOSAA,Fraction of nMeFOSAA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFBSA,Fraction of PFBSA remained in residuals,0.25,fraction,4,,,,0,0.5,,
Fraction of not mineralized that remains in residuals,Frac_to_res,PFPeS,Fraction of PFPeS remained in residuals,0.25,fraction,4,,,,0,0.5,,
Combustion parameters,Comb_param,frac_vs_to_res,Fraction of incoming Volatile Solids to Combustion Residuals,0.05,fraction,,,,,,,,
Combustion parameters,Comb_param,res_ts_cont,Solids content of residuals,0.85,fraction,4,,,,0.75,0.95,,
