Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Food Waste,FoodWaste,bulk_dens,Bulk density - wet,350,kg/m3,4,,,,130,500,[93],Baled: 600-750  Loose: 130-500
Food Waste,FoodWaste,ts_cont,Total solids content - wet,0.3,fraction wet weight,5,0.3,,,0.2,0.5,[93],
Food Waste,FoodWaste,VS_cont,VS content - dry,0.95,kg VS/kg TS,5,0.95,,,0.83,0.99,[12],
Food Waste,FoodWaste,C_cont,Organic C content - dry,0.5,fraction TS,5,0.5,,,0.45,0.57,[12],
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOA,PFOA concentration,0,10e-6g/kg,5,0,,,0,114,[71],Hunted  wild boar liver
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOS,PFOS concentration,0,10e-6g/kg,5,0,,,0,1780,[72],Hunted  wild boar liver
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBA,PFBA concentration,0,10e-6g/kg,5,0,,,0,0.164,[73],Lettuce mix
Food Waste PFAS Concentration,FoodWaste_PFAS,PFPeA,PFPeA concentration,0,10e-6g/kg,5,0,,,0,0.77,[74],"Floret; the mixture of Floret, Fruit, Garden, Fruit, Yard, Leaf, Root, Seed and Stem"
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxA,PFHxA concentration,0,10e-6g/kg,5,0,,,0,5.38,[75],Polar cod
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHpA,PFHpA concentration,0,10e-6g/kg,5,0,,,0,0.0469,[73],Collard greens
Food Waste PFAS Concentration,FoodWaste_PFAS,PFNA,PFNA concentration,0,10e-6g/kg,5,0,,,0,9.7,[76],Osprey (2008-2009)
Food Waste PFAS Concentration,FoodWaste_PFAS,PFDA,PFDA concentration,0,10e-6g/kg,5,0,,,0,28.5,[76],Osprey (2008-2009)
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBS,PFBS concentration,0,10e-6g/kg,5,0,,,0,0.1294,[73],Collard greens
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxS,PFHxS concentration,0,10e-6g/kg,5,0,,,0,1.94,[77],Milk collected from the farm near air force basement
Food Waste PFAS Concentration,FoodWaste_PFAS,5:3FTCA,5:3FTCA concentration,0,10e-6g/kg,,,,,,,,No data!
Food Waste PFAS Concentration,FoodWaste_PFAS,6:2FTCA,6:2FTCA concentration,0,10e-6g/kg,,,,,,,,No data!
Food Waste PFAS Concentration,FoodWaste_PFAS,7:3FTCA,7:3FTCA concentration,0,10e-6g/kg,5,0,,,0,2.7,[76],Osprey (2008-2009)
Food Waste PFAS Concentration,FoodWaste_PFAS,6:2FTS,6:2FTS concentration,0,10e-6g/kg,5,0,,,0,36.9,[76],Osprey (2013)
Food Waste PFAS Concentration,FoodWaste_PFAS,MeFBSAA,MeFBSAA concentration,0,10e-6g/kg,,,,,,,,No data!
Food Waste PFAS Concentration,FoodWaste_PFAS,nMeFOSAA,nMeFOSAA concentration,0,10e-6g/kg,,,,,,,,No data!
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBSA,PFBSA concentration,0,10e-6g/kg,,,,,,,,No data!
Food Waste PFAS Concentration,FoodWaste_PFAS,PFPeS,PFPeS concentration,0,10e-6g/kg,5,0,,,0,0.076,[77],Milk collected from the farm near air force basement
Compost,Compost,bulk_dens,Bulk density - wet,561,kg/m3,5,561,,,415,712,[48],
Compost,Compost,ts_cont,TS content,0.57,fraction wet weight,4,,,,0.4,0.76,[14],
Compost,Compost,VS_cont,VS content - dry,0.41,kg VS/kg TS,4,,,,0.3,0.578,[14],
Compost,Compost,C_cont,Organic C content - dry,0.23,kg C/kg TS,4,0.23,,,0.18,0.33,[14],
Compost PFAS Concentration,Compost_PFAS,PFOA,PFOA concentration,3.937,10e-6g/kg,3,3.94,3.39,,0.04,10.31,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFOS,PFOS concentration,1.096,10e-6g/kg,3,1.1,0.41,,0.35,1.69,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFBA,PFBA concentration,4.96,10e-6g/kg,3,4.96,4.48,,0.15,12.04,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFPeA,PFPeA concentration,4.441,10e-6g/kg,3,4.44,3.11,,0.41,8.59,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFHxA,PFHxA concentration,20.31,10e-6g/kg,3,20.31,17.32,,0.38,49.84,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFHpA,PFHpA concentration,0.256,10e-6g/kg,5,0.256,,,0,0.256,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
Compost PFAS Concentration,Compost_PFAS,PFNA,PFNA concentration,0.229,10e-6g/kg,5,0.229,,,0,1.05,[14],10 samples: 9 OFMSW commercial composts and 1 backyard compost
