Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Composting),2.28,log L/kg OC,3,2.28,0.53,,1.24,3.67,"[78, 81]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Composting),3.08,log L/kg OC,3,3.08,0.49,,2.13,4.74,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Composting),1.8,log L/kg OC,3,1.8,0.55,,0.83,2.81,[78],
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Composting),1.74,log L/kg OC,3,1.74,0.53,,0.84,2.69,[78],
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Composting),1.79,log L/kg OC,3,1.79,0.51,,0.84,2.76,[78],
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Composting),1.98,log L/kg OC,3,1.98,0.61,,0.95,3.17,"[78, 80]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (Composting),2.8,log L/kg OC,3,2.8,0.51,,1.62,3.75,[78],
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (Composting),3.44,log L/kg OC,3,3.44,0.62,,2.01,4.39,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (Composting),1.63,log L/kg OC,3,1.63,0.44,,0.84,2.65,"[78, 82]",
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (Composting),2.07,log L/kg OC,3,2.07,0.54,,1.06,3.15,"[78, 80]",
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (Composting),2.22,log L/kg OC,4,,,,1.6,2.84,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (Composting),2.28,log L/kg OC,4,,,,1.66,2.89,,Calculated based on retention time
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (Composting),2.96,log L/kg OC,4,,,,2.31,3.61,,Calculated based on retention time
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (Composting),2.2,log L/kg OC,3,2.2,0.57,,1.09,3.17,[78],
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (Composting),2.119,log L/kg OC,,,,,,,[96],
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (Composting),3.24,log L/kg OC,4,,,,2.55,3.94,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (Composting),1.64,log L/kg OC,4,,,,0.96,2.32,,Calculated based on retention time
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (Composting),1.89,log L/kg OC,3,1.89,0.46,,1.22,2.65,[78],
Amendment Material Properties,AmndProp,mass_ratio,Mass of amendment to mass of feedstock,0.7,kg TS/kg TS,4,,,,0.25,1.1,[62],
Amendment Material Properties,AmndProp,ts_cont,TS content of amendmente _wet,0.55,fraction wet weight,5,0.55,,,0.5,0.6,[63],
Amendment Material Properties,AmndProp,C_cont,Organic C content - dry,0.58,fraction TS,4,,,,0.5,0.6,[48],
Amendment PFAS Concentration,AmndPFAS,PFOA,PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOS,PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBA,PFBA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFPeA,PFPeA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxA,PFHxA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHpA,PFHpA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFNA,PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFDA,PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBS,PFBS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxS,PFHxS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,5:3FTCA,5:3FTCA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,6:2FTCA,6:2FTCA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,7:3FTCA,7:3FTCA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,6:2FTS,6:2FTS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,MeFBSAA,MeFBSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,nMeFOSAA,nMeFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBSA,PFBSA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFPeS,PFPeS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Active composting Input,AComp,is_covered,Is active composting (AC) covered?,0,"1:TRUE,0:FALSE",,,,,,,,User should update based on process design
Active composting Input,AComp,bulk_dens,Wet bulk density (AC pile),530,kg/m3,4,,,,470,600,[48],
Active composting Input,AComp,wind_ht,Windrow height (AC pile),2.5,m,4,,,,1.2,2.7,[48],
Active composting Input,AComp,wind_wid,Windrow width (AC pile),4.5,m,4,,,,3,6,[48],
Active composting Input,AComp,frac_C_lost,Fraction of organic C lost during AC,0.5,kg C loss/kg C,4,,,,0.4,0.8,[22],
Active composting Input,AComp,ts_end,Total solids content at the end of AC,0.55,kg TS/kg,4,,,,0.5,0.6,[48],
Active composting Input,AComp,frac_sol_to_cw,Fraction of solids in contact water (AC),0,fraction,,,,,,,,
Active composting Input,AComp,sol_loss_per_C_loss,Total solids loss per loss per C loss (AC),2,kg TS/kg C,,,,,1.8,2.2,"[64,24]",
Active composting Input,AComp,is_cw_col,Is AC contact water collected?,1,"1:TRUE,0:FALSE",,,,,,,,User should update based on process design.
Active composting Input,AComp,frac_cw_col,Fraction contact water collection during AC,0.98,fraction,,,,,,,,
Active composting Input,AComp,ac_time,Activate composting time,70,days,,,,,,,[48],
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.1,kg C/kg C,4,,,,0.05,0.2,[42],
Curing Input,Curing,ts_end,Total solids content at the end of curing,0.65,kg TS/kg,4,,,,0.6,0.7,[42],
Curing Input,Curing,bulk_dens,Wet bulk density of curing pile,530,kg/m3,4,,,,470,600,[48],
Curing Input,Curing,wind_ht,Windrow height of curing pile,2,m,4,,,,1.5,2.4,[48],
Curing Input,Curing,wind_wid,Windrow width of curing pile,4,m,4,,,,3,5,[48],
Curing Input,Curing,sol_loss_per_C_loss,Total solids loss per C loss (Curing),2,kg TS/kg C,4,,,,1.8,2.2,,
Curing Input,Curing,curing_time,Curing composting time,30,days,,,,,,,[48],
Precipitation Data,Precip,ann_precip,Annual precipitation rate,1.13,m/yr,,,,,,,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,,,,,,,,,Assume no volatilization
Screen,Screen,frac_rmvd,Fraction of incoming feedstock removed by screen,0,fraction,,,,,,,,
