Category,Dictionary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
LF MSW Properties,LFMSW,frac_of_msw,Mass fraction of PFAS containing waste mixed with MSW,0.01,fraction,4,,,,0.001,0.1,,
LF MSW Properties,LFMSW,bulk_dens,MSW bulk density - wet,890,kg/m3,4,,,,800,1000,,
LF MSW Properties,LFMSW,ts_cont,Total solids content of the bulk MSW in the landfill  - wet,0.746,fraction wet weight,4,,,,0.69,0.77,,
LF MSW Properties,LFMSW,C_cont,MSW organic C content -dry,0.331,fraction TS,4,,,,0.259,0.334,,
LF Water Balance,Water_Blnc,leach_gpad,Leachate generation rate per area,500,gal/acre-day,4,,,,250,1000,,
LF Water Balance,Water_Blnc,is_leach_col,Is leachate collected,1,1:TRUE/0:FALSE,,,,,,,,
LF Water Balance,Water_Blnc,frac_leach_col,Fraction of leachate collected,0.998,fraction,4,,,,0.98,0.999,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
LF Parameters,LF,lf_ton_area,Landfill capacity per acre,100000,Mg/acre,4,,,,25000,200000,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Landfill),2.28,log L/kg OC,3,2.28,0.53,,1.24,3.67,"[78, 81]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Landfill),3.08,log L/kg OC,3,3.08,0.49,,2.13,4.74,"[78, 81]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Landfill),1.8,log L/kg OC,3,1.8,0.55,,0.83,2.81,[78],
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Landfill),1.74,log L/kg OC,3,1.74,0.53,,0.84,2.69,[78],
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Landfill),1.79,log L/kg OC,3,1.79,0.51,,0.84,2.76,[78],
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Landfill),1.98,log L/kg OC,3,1.98,0.61,,0.95,3.17,"[78, 80]",
